"Name","Race","Race_percentage"
"Colchester","White",38.78600823
"Cole Mill Road","Asian",0.521732646724551
"Cole Mill Road","Black",10.1703532453473
"Cole Mill Road","Hispanic",5.53477664215569
"Cole Mill Road","White",79.5477394579641
"Coles Pond","Asian",0
"Coles Pond","Black",12.47443763
"Coles Pond","Hispanic",0
"Coles Pond","White",87.52556237
"College View / NCCU","Asian",2.70888512391698
"College View / NCCU","Black",59.8373452324121
"College View / NCCU","Hispanic",16.3319124698995
"College View / NCCU","White",17.508939580666
"Colonial Village","Asian",0.727927458500002
"Colonial Village","Black",50.3528632296476
"Colonial Village","Hispanic",9.94151534629195
"Colonial Village","White",34.8242536913591
"Colony Park","Asian",14.40329218
"Colony Park","Black",1.783264746
"Colony Park","Hispanic",3.223593964
"Colony Park","White",76.54320988
"Colony Woods","Asian",0
"Colony Woods","Black",20.25316456
"Colony Woods","Hispanic",4.068716094
"Colony Woods","White",70.70524412
"Colvard Farms","Asian",20.94517958
"Colvard Farms","Black",7.069943289
"Colvard Farms","Hispanic",1.890359168
"Colvard Farms","White",65.86011342
"Copper Creek","Asian",1.861832435
"Copper Creek","Black",31.50416463
"Copper Creek","Hispanic",5.634492896
"Copper Creek","White",55.41401274
"Country Club Heights","Asian",0
"Country Club Heights","Black",24.72783826
"Country Club Heights","Hispanic",17.41835148
"Country Club Heights","White",55.98755832
"Cranford Road","Asian",0
"Cranford Road","Black",26.24179944
"Cranford Road","Hispanic",28.39737582
"Cranford Road","White",28.49109653
"Crest Street","Asian",0.44387899345679
"Crest Street","Black",62.4705862390123
"Crest Street","Hispanic",23.6234071483951
"Crest Street","White",8.50377076691358
"Croasdaile","Asian",1.630434783
"Croasdaile","Black",12.36413043
"Croasdaile","Hispanic",13.31521739
"Croasdaile","White",69.70108696
"Croasdaile Farm","Asian",6.56259426830392
"Croasdaile Farm","Black",18.4026631110131
"Croasdaile Farm","Hispanic",3.40256829207516
"Croasdaile Farm","White",70.480842001634
"Crooked Creek","Asian",6.272273699
"Crooked Creek","Black",40.62722737
"Crooked Creek","Hispanic",12.40199572
"Crooked Creek","White",27.44119743
"Cross Timbers","Asian",5.501330967
"Cross Timbers","Black",8.42945874
"Cross Timbers","Hispanic",7.808340728
"Cross Timbers","White",77.01863354
"Crown Point","Asian",0.043821209
"Crown Point","Black",54.99561788
"Crown Point","Hispanic",14.59246275
"Crown Point","White",24.40841367
"Deer Forest","Asian",0
